Model,Group,Accuracy,Precision,Recall,F1-Score
Logistic Regression,Male,0.9795918367346939,0.9166666666666666,0.9666666666666667,0.9259259259259259
Logistic Regression,Female,0.9607843137254902,0.8181818181818182,0.888888888888889,0.7546897546897547
Logistic Regression,Combined,0.99,0.9666666666666667,0.9907407407407408,0.9767195767195768
SVM,Male,0.673469387755102,0.6801346801346803,0.48333333333333334,0.5653439153439154
SVM,Female,0.7058823529411765,0.6701388888888888,0.45039682539682535,0.37291908633372045
SVM,Combined,0.85,0.8528036714243611,0.5438746438746439,0.5278554319153451
KNN,Male,0.8979591836734694,0.9234006734006734,0.9092592592592593,0.9029761904761905
KNN,Female,0.8431372549019608,0.7175925925925926,0.5555555555555556,0.5317460317460317
KNN,Combined,0.94,0.9297801866907558,0.9642450142450144,0.9439624387766804
